x,y,z
-0.294,0.103,0.968
-0.298,0.099,0.970
-0.295,0.098,0.959
-0.295,0.095,0.963
-0.295,0.106,0.966
-0.296,0.103,0.969
-0.293,0.104,0.962
-0.294,0.099,0.968
-0.297,0.100,0.969
-0.300,0.100,0.964
-0.296,0.094,0.965
-0.298,0.099,0.969
-0.297,0.097,0.966
-0.293,0.101,0.970
-0.299,0.099,0.969
-0.298,0.102,0.967
-0.301,0.098,0.964
-0.299,0.102,0.961
-0.295,0.099,0.966
-0.301,0.093,0.968
-0.296,0.100,0.958
-0.293,0.097,0.967
-0.297,0.104,0.963
-0.296,0.102,0.967
-0.297,0.101,0.970
-0.297,0.097,0.971
-0.298,0.095,0.966
-0.296,0.098,0.965
-0.297,0.092,0.958
-0.298,0.103,0.962
-0.291,0.104,0.972
-0.295,0.098,0.969
-0.290,0.098,0.971
-0.302,0.096,0.963
-0.294,0.092,0.956
-0.298,0.096,0.960
-0.296,0.096,0.964
-0.294,0.100,0.967
-0.293,0.101,0.969
-0.291,0.104,0.970
-0.296,0.099,0.970
-0.295,0.100,0.967
-0.301,0.099,0.955
-0.294,0.097,0.963
-0.299,0.104,0.967
-0.298,0.100,0.968
-0.297,0.104,0.969
-0.305,0.099,0.970
-0.304,0.101,0.963
-0.297,0.102,0.971
-0.298,0.096,0.970
-0.293,0.099,0.965
-0.295,0.099,0.961
-0.295,0.098,0.966
-0.297,0.099,0.969
-0.301,0.101,0.967
-0.296,0.099,0.963
-0.301,0.102,0.975
-0.296,0.100,0.967
-0.286,0.096,0.962
-0.298,0.094,0.953
-0.291,0.101,0.966
-0.297,0.097,0.967
-0.294,0.099,0.970
-0.297,0.104,0.972
-0.299,0.099,0.967
-0.300,0.098,0.961
-0.293,0.099,0.966
-0.293,0.096,0.958
-0.294,0.096,0.962
-0.294,0.103,0.969
-0.295,0.103,0.967
-0.297,0.100,0.966
-0.296,0.103,0.971
-0.295,0.100,0.964
-0.297,0.100,0.960
-0.300,0.101,0.966
-0.295,0.098,0.962
-0.293,0.099,0.968
-0.299,0.101,0.968
-0.295,0.099,0.973
-0.291,0.102,0.966
-0.301,0.097,0.965
-0.299,0.099,0.970
-0.288,0.098,0.965
-0.297,0.099,0.957
-0.293,0.100,0.967
-0.295,0.099,0.971
-0.296,0.094,0.961
-0.293,0.097,0.962
-0.300,0.105,0.968
-0.295,0.101,0.965
-0.291,0.101,0.967
-0.296,0.097,0.962
-0.301,0.095,0.968
-0.299,0.099,0.958
-0.295,0.101,0.972
-0.299,0.099,0.975
-0.297,0.100,0.970
-0.291,0.102,0.963
-0.293,0.097,0.960
-0.296,0.095,0.968
-0.294,0.097,0.961
-0.295,0.098,0.964
-0.285,0.097,0.969
-0.300,0.104,0.959
-0.296,0.101,0.971
-0.296,0.100,0.969
-0.293,0.101,0.971
-0.294,0.103,0.966
-0.291,0.095,0.962
-0.304,0.099,0.960
-0.297,0.095,0.972
-0.296,0.098,0.974
-0.297,0.101,0.956
-0.297,0.097,0.965
-0.301,0.097,0.965
-0.290,0.104,0.957
-0.297,0.098,0.960
-0.297,0.097,0.970
-0.294,0.095,0.963
-0.301,0.095,0.971
-0.299,0.093,0.967
-0.298,0.099,0.966
-0.292,0.100,0.964
-0.292,0.103,0.960
-0.296,0.091,0.967
-0.295,0.100,0.963
-0.292,0.098,0.956
-0.295,0.095,0.967
-0.293,0.094,0.966
-0.296,0.097,0.963
-0.290,0.099,0.970
-0.300,0.101,0.959
-0.289,0.097,0.965
-0.296,0.097,0.965
-0.291,0.093,0.968
-0.298,0.096,0.971
-0.295,0.099,0.964
-0.300,0.097,0.967
-0.291,0.098,0.967
-0.304,0.101,0.963
-0.286,0.094,0.966
-0.300,0.100,0.964
-0.294,0.093,0.969
-0.297,0.101,0.965
-0.291,0.096,0.965
-0.299,0.101,0.967
-0.291,0.099,0.975
-0.300,0.105,0.962
-0.285,0.096,0.968
-0.302,0.093,0.960
-0.289,0.097,0.960
-0.298,0.095,0.977
-0.291,0.097,0.971
-0.296,0.096,0.976
-0.295,0.095,0.963
-0.300,0.098,0.964
-0.285,0.093,0.963
-0.297,0.096,0.965
-0.291,0.097,0.961
-0.297,0.094,0.962
-0.293,0.095,0.976
-0.293,0.102,0.961
-0.291,0.099,0.965
-0.296,0.098,0.965
-0.290,0.092,0.967
-0.297,0.099,0.964
-0.288,0.096,0.972
-0.288,0.093,0.961
-0.294,0.102,0.964
-0.295,0.099,0.968
-0.295,0.098,0.959
-0.300,0.093,0.966
-0.298,0.099,0.969
-0.294,0.093,0.966
-0.300,0.094,0.973
-0.290,0.098,0.962
-0.296,0.099,0.964
-0.296,0.100,0.957
-0.295,0.100,0.964
-0.294,0.098,0.973
-0.287,0.098,0.966
-0.297,0.097,0.968
-0.292,0.095,0.967
-0.293,0.093,0.959
-0.292,0.099,0.963
-0.300,0.097,0.969
-0.298,0.100,0.972
-0.290,0.098,0.974
-0.293,0.100,0.968
-0.295,0.098,0.972
-0.296,0.098,0.962
-0.287,0.102,0.961
-0.294,0.095,0.968
-0.288,0.104,0.962
-0.290,0.099,0.963
-0.294,0.098,0.960
-0.295,0.100,0.963
-0.296,0.099,0.959
-0.294,0.101,0.967
-0.292,0.090,0.968
-0.291,0.102,0.962
-0.289,0.095,0.970
-0.293,0.098,0.964
-0.293,0.100,0.956
-0.297,0.097,0.967
-0.291,0.096,0.971
-0.295,0.103,0.967
-0.292,0.096,0.963
-0.293,0.097,0.967
-0.293,0.096,0.962
-0.292,0.101,0.968
-0.295,0.095,0.959
-0.287,0.094,0.964
-0.293,0.097,0.961
-0.300,0.098,0.963
-0.296,0.092,0.966
-0.295,0.097,0.973
-0.295,0.097,0.961
-0.295,0.097,0.974
-0.294,0.104,0.971
-0.291,0.094,0.964
-0.291,0.095,0.963
-0.288,0.098,0.971
-0.293,0.100,0.964
-0.296,0.097,0.962
-0.299,0.095,0.965
-0.290,0.091,0.964
-0.296,0.100,0.967
-0.294,0.104,0.965
-0.300,0.095,0.967
-0.290,0.097,0.969
-0.296,0.092,0.963
-0.289,0.098,0.964
-0.294,0.095,0.971
-0.291,0.100,0.961
-0.282,0.099,0.966
-0.291,0.097,0.972
-0.290,0.091,0.965
-0.301,0.098,0.962
-0.292,0.099,0.960
-0.291,0.093,0.961
-0.293,0.098,0.967
-0.299,0.100,0.970
-0.296,0.097,0.966
-0.292,0.095,0.966
-0.295,0.094,0.970
-0.299,0.096,0.959
-0.293,0.099,0.963
-0.290,0.093,0.962
-0.294,0.094,0.967
-0.293,0.096,0.967
-0.296,0.097,0.963
-0.292,0.095,0.969
-0.293,0.097,0.969
-0.294,0.098,0.962
-0.295,0.098,0.964
-0.294,0.093,0.966
-0.292,0.097,0.962
-0.289,0.099,0.964
-0.288,0.098,0.967
-0.295,0.097,0.966
-0.295,0.097,0.967
-0.299,0.092,0.962
-0.293,0.096,0.967
-0.293,0.096,0.950
-0.283,0.100,0.940
-0.285,0.095,0.948
-0.283,0.095,0.947
-0.286,0.096,0.943
-0.297,0.094,0.939
-0.287,0.096,0.947
-0.276,0.104,0.950
-0.278,0.098,0.932
-0.275,0.094,0.935
-0.288,0.096,0.923
-0.283,0.092,0.924
-0.277,0.095,0.926
-0.278,0.099,0.929
-0.275,0.100,0.918
-0.281,0.087,0.916
-0.280,0.088,0.911
-0.281,0.092,0.920
-0.272,0.097,0.925
-0.276,0.099,0.923
-0.291,0.091,0.928
-0.279,0.090,0.929
-0.286,0.097,0.932
-0.280,0.101,0.934
-0.276,0.098,0.940
-0.277,0.097,0.935
-0.278,0.093,0.929
-0.280,0.097,0.926
-0.286,0.095,0.921
-0.284,0.094,0.944
-0.279,0.104,0.917
-0.273,0.100,0.919
-0.284,0.090,0.933
-0.277,0.094,0.930
-0.272,0.104,0.905
-0.295,0.088,0.945
-0.280,0.100,0.926
-0.274,0.102,0.926
-0.284,0.100,0.936
-0.288,0.090,0.935
-0.278,0.099,0.922
-0.277,0.090,0.931
-0.276,0.095,0.934
-0.278,0.098,0.923
-0.279,0.094,0.922
-0.282,0.095,0.923
-0.284,0.098,0.931
-0.284,0.095,0.931
-0.282,0.097,0.930
-0.279,0.102,0.939
-0.283,0.100,0.933
-0.283,0.100,0.942
-0.284,0.096,0.935
-0.286,0.096,0.945
-0.292,0.100,0.955
-0.291,0.096,0.954
-0.291,0.094,0.959
-0.290,0.094,0.949
-0.292,0.102,0.958
-0.285,0.090,0.969
-0.283,0.101,0.959
-0.293,0.094,0.965
-0.291,0.094,0.975
-0.291,0.097,0.960
-0.293,0.099,0.971
-0.296,0.098,0.977
-0.294,0.098,0.967
-0.299,0.098,0.969
-0.295,0.096,0.970
-0.294,0.099,0.963
-0.293,0.097,0.958
-0.296,0.097,0.967
-0.296,0.096,0.974
-0.296,0.098,0.964
-0.294,0.097,0.958
-0.285,0.100,0.965
-0.293,0.095,0.964
-0.294,0.096,0.964
-0.293,0.096,0.961
-0.298,0.095,0.961
-0.294,0.101,0.966
-0.293,0.093,0.961
-0.299,0.090,0.971
-0.293,0.097,0.966
-0.285,0.096,0.966
-0.295,0.093,0.975
-0.293,0.095,0.960
-0.297,0.098,0.963
-0.293,0.094,0.971
-0.295,0.098,0.970
-0.289,0.101,0.966
-0.287,0.097,0.977
-0.293,0.094,0.964
-0.293,0.088,0.964
-0.293,0.097,0.965
-0.295,0.098,0.962
-0.289,0.096,0.965
-0.291,0.096,0.964
-0.287,0.099,0.963
-0.286,0.094,0.965
-0.290,0.095,0.963
-0.296,0.095,0.967
-0.287,0.091,0.962
-0.294,0.096,0.972
-0.293,0.098,0.964
-0.297,0.099,0.967
-0.289,0.099,0.963
-0.292,0.094,0.968
-0.294,0.096,0.964
-0.292,0.096,0.964
-0.293,0.097,0.968
-0.293,0.099,0.967
-0.291,0.099,0.971
-0.293,0.093,0.965
-0.296,0.100,0.968
-0.285,0.095,0.965
-0.293,0.097,0.974
-0.293,0.099,0.965
-0.285,0.095,0.970
-0.286,0.096,0.971
-0.290,0.094,0.966
-0.292,0.091,0.962
-0.293,0.100,0.964
-0.294,0.098,0.965
-0.295,0.100,0.972
-0.292,0.097,0.968
-0.293,0.093,0.968
-0.294,0.097,0.970
-0.289,0.096,0.963
-0.291,0.092,0.969
-0.292,0.099,0.965
-0.292,0.095,0.967
-0.293,0.094,0.959
-0.289,0.098,0.973
-0.294,0.091,0.969
-0.295,0.098,0.968
-0.295,0.094,0.967
-0.289,0.095,0.964
-0.293,0.097,0.965
-0.293,0.096,0.977
-0.294,0.095,0.965
-0.289,0.103,0.967
-0.295,0.094,0.961
-0.290,0.099,0.963
-0.290,0.096,0.966
-0.296,0.095,0.964
-0.287,0.096,0.967
-0.292,0.097,0.966
-0.294,0.096,0.964
-0.295,0.095,0.966
-0.284,0.100,0.969
-0.291,0.093,0.966
-0.290,0.094,0.970
-0.288,0.093,0.969
-0.289,0.098,0.967
-0.295,0.097,0.969
-0.298,0.095,0.968
-0.294,0.094,0.969
-0.293,0.096,0.962
-0.292,0.098,0.964
-0.287,0.098,0.970
-0.292,0.096,0.973
-0.291,0.089,0.964
-0.294,0.100,0.965
-0.292,0.095,0.963
-0.292,0.097,0.963
-0.292,0.092,0.968
-0.291,0.103,0.967
-0.291,0.093,0.968
-0.287,0.093,0.967
-0.293,0.096,0.962
-0.298,0.094,0.966
-0.294,0.095,0.967
-0.287,0.094,0.969
-0.291,0.097,0.967
-0.292,0.097,0.975
-0.293,0.094,0.968
-0.288,0.094,0.969
-0.289,0.099,0.973
-0.293,0.100,0.961
-0.290,0.096,0.965
-0.291,0.095,0.969
-0.297,0.092,0.964
-0.297,0.097,0.958
-0.295,0.097,0.970
-0.287,0.093,0.958
-0.286,0.099,0.965
-0.293,0.094,0.966
-0.293,0.092,0.963
-0.290,0.096,0.972
-0.289,0.096,0.975
-0.295,0.100,0.969
-0.290,0.098,0.953
-0.293,0.089,0.956
-0.282,0.099,0.935
-0.280,0.095,0.934
-0.281,0.095,0.935
-0.279,0.097,0.938
-0.279,0.096,0.938
-0.281,0.094,0.938
-0.284,0.094,0.937
-0.289,0.092,0.979
-0.298,0.103,0.971
-0.295,0.099,0.943
-0.284,0.087,0.973
-0.294,0.090,0.966
-0.294,0.097,0.951
-0.281,0.103,0.960
-0.293,0.096,0.977
-0.296,0.096,0.966
-0.294,0.094,0.976
-0.294,0.091,0.968
-0.296,0.091,0.969
-0.284,0.092,0.965
-0.294,0.097,0.961
