0.104,0.036,1.006
0.110,0.036,1.005
0.118,0.035,1.006
0.112,0.034,1.004
0.110,0.027,1.008
0.109,0.025,0.994
0.103,0.025,1.008
0.098,0.027,1.011
0.100,0.034,0.996
0.104,0.040,1.002
0.109,0.042,1.009
0.112,0.036,0.999
0.112,0.031,1.005
0.110,0.019,0.996
0.104,0.021,1.006
0.106,0.025,1.008
0.104,0.039,0.993
0.104,0.037,1.002
0.108,0.040,1.003
0.108,0.041,0.997
0.107,0.034,1.004
0.111,0.023,0.999
0.108,0.020,1.009
0.107,0.027,1.000
0.106,0.034,0.999
0.104,0.032,1.009
0.104,0.043,1.010
0.106,0.037,1.000
0.104,0.029,1.000
0.107,0.026,1.007
0.104,0.025,1.007
0.108,0.026,1.008
0.104,0.034,0.995
0.105,0.044,1.019
0.104,0.030,1.001
0.104,0.044,0.999
0.121,0.028,0.999
0.103,0.029,1.012
0.115,0.021,0.998
0.117,0.029,0.998
0.107,0.021,1.002
0.110,0.029,0.999
0.093,0.038,1.003
0.102,0.032,1.005
0.112,0.047,1.011
0.102,0.024,0.999
0.116,0.035,1.006
0.125,0.041,1.017
0.115,0.019,1.003
0.116,0.021,1.004
0.106,0.026,1.000
0.095,0.026,1.010
0.096,0.034,1.006
0.107,0.034,0.997
0.108,0.029,0.996
0.101,0.028,1.003
0.110,0.034,1.004
0.109,0.026,1.005
0.109,0.027,1.004
0.108,0.032,0.996
0.110,0.025,1.001
0.106,0.027,1.000
0.103,0.023,1.015
0.104,0.032,1.004
0.104,0.030,1.006
0.098,0.031,0.991
0.105,0.031,1.010
0.104,0.035,1.001
0.110,0.028,0.996
0.106,0.030,1.004
0.115,0.031,1.000
0.107,0.031,1.000
0.100,0.024,1.003
0.102,0.026,1.005
